genes,reaction,Organism,geneKO,maxATPafterKO,growthAcrossCond,closeness,degree,betweenness,pagerank,reversible,rawVmin,rawVmax,PFBAflux,kcat,MW,Target,Acetyl,Phos
b2290,"ALATA_L",1,0.999999999999442,0.999999999999664,0.00900900900900903,0.432489257169157,0.083676268861454,0.0262346232910907,0.242930048643627,1,0.449744842686922,1.17020606942982e-07,-2.67955956648461,1.00375811962536,0.264908722109533,1,1,0
b2291,"NTD1",1,0.999999999999442,0.999999999999664,1,0.624006194172193,0.447873799725652,0.00635614168728932,0.423931325548846,0,0.449744842686922,3.51061846442324e-06,0,1.20876394044963,0.122552660321423,1,1,0
b2291,"NTD12",1,0.999999999999442,0.999999999999664,1,0.623430124310714,0.446502057613169,0.00280097367712771,0.418170052614196,0,0.449744842686922,1.08018981170225e-06,0,-0.542799738963149,0.122552660321423,1,1,0
b2291,"NTD3",1,0.999999999999442,0.999999999999664,1,0.623718089074599,0.44718792866941,0.00288518915400609,0.418890940948564,0,0.449744842686922,1.75530946406097e-06,0,1.23920796182139,0.122552660321423,1,1,0
b2291,"NTD5",1,0.999999999999442,0.999999999999664,1,0.624582825779016,0.449245541838134,0.00647518940797917,0.42529930920129,0,0.449744842686922,3.51061727958457e-06,0,1.29867375510488,0.122552660321423,1,1,0
b2291,"NTD6",1,0.999999999999442,0.999999999999664,1,0.623718089074599,0.44718792866941,0.002885598489285,0.418891824680291,0,0.449744842686922,3.51061754550704e-06,0,1.00375811962536,0.122552660321423,1,1,0
b2291,"NTD8",1,0.999999999999442,0.999999999999664,1,0.623718089074599,0.44718792866941,0.00288415691129516,0.418890906279021,0,0.449744842686922,3.51061667505619e-06,0,1.02999936651839,0.122552660321423,1,1,0
b2296,"ACKr",1,0.999999999999442,0.999999999999664,1,0.540199049908213,0.262002743484225,0.00854266267102349,0.259942257441741,1,0.449744842686922,0.0102581204419373,2.68518273487313,1.00375811962536,0.251009517865502,1,1,0
b2297,"PTA2",1,0.999999999999465,0.999999999999662,1,0.533031469125739,0.255144032921811,0.0106871404295572,0.26947044083763,0,0.449744842686922,1.17020606942982e-07,0,1.00375811962536,0.462474645030426,1,1,0
b2297,"PTAr",1,0.999999999999465,0.999999999999662,1,0.533277070183236,0.255829903978052,0.0126227496492766,0.272652881874753,1,0.444100144920172,1.17020606942982e-07,-2.68518273487313,1.00375811962536,0.462474645030426,1,1,0
b2303,"DHPTPE",1,0.999999999999442,0.999999999999664,1,0.319035226195503,0.00137174211248285,0,0.00118871827104551,1,0.449744842686922,0,0,1.00375811962536,0.0687158683101888,1,1,0
b2306,"ARGabcpp",1,0.999999999999655,0.999999999999629,1,0.939847745004956,0.936213991769547,0.112426488540696,0.911142315222829,0,0.449744842686922,2.80849403834142e-06,0,1.00375811962536,0.159656732719613,1,1,0
b2306,"HISabcpp",1,0.999999999999655,0.999999999999629,1,0.937538076422285,0.933470507544581,0.0802181438988839,0.900548805838744,0,0.449744842686922,4.6808229072199e-06,0,1.00375811962536,0.159656732719613,1,1,0
b2306,"LYSabcpp",1,0.999999999999655,0.999999999999629,1,0.937538076422285,0.933470507544581,0.0648393199880528,0.883395622322558,0,0.449744842686922,2.80849403834128e-06,0,1.00375811962536,0.159656732719613,1,1,0
b2306,"ORNabcpp",1,0.999999999999655,0.999999999999629,1,0.938461088950265,0.934842249657064,0.134550898819141,0.913176266765499,0,0.449744842686922,2.80849403834248e-06,0,1.00375811962536,0.159656732719613,1,1,0
b2309,"HISabcpp",1,0.999999999999466,0.999999999999664,1,0.937538076422285,0.933470507544581,0.0802181438988839,0.900548805838744,0,0.449744842686922,4.6808229072199e-06,0,1.00375811962536,0.158595724762053,1,1,0
b2310,"ARGabcpp",1,0.999999999999255,0.999999999999696,1,0.939847745004956,0.936213991769547,0.112426488540696,0.911142315222829,0,0.449744842686922,2.80849403834142e-06,0,1.00375811962536,0.15553128413169,0,0,0
b2310,"LYSabcpp",1,0.999999999999255,0.999999999999696,1,0.937538076422285,0.933470507544581,0.0648393199880528,0.883395622322558,0,0.449744842686922,2.80849403834128e-06,0,1.00375811962536,0.15553128413169,0,0,0
b2310,"ORNabcpp",1,0.999999999999255,0.999999999999696,1,0.938461088950265,0.934842249657064,0.134550898819141,0.913176266765499,0,0.449744842686922,2.80849403834248e-06,0,1.00375811962536,0.15553128413169,0,0,0
b2312,"GLUPRT",1,0,5.6571964359237e-16,0,0.646320749372263,0.494513031550069,0.041278660905351,0.514090055389235,0,0.454085930392257,0.00788944175888038,2.0659981508092,1.00375811962536,0.333381182711811,0,0,0
b2315,"DHFS",1,0,0.999999999999735,1,0.873099821865739,0.844993141289437,0.0792571230606503,0.828061148825096,0,0.449751321806664,1.17745301946407e-05,0.00308352429488904,1.00375811962536,0.26421594632548,1,1,0
b2316,"ACCOAC",1,0,0.999999999999622,0,0.870991184084747,0.84156378600823,0.0612558450823468,0.805584755548446,0,0.450498609337911,0.00137333224657766,0.358730487101703,1.00375811962536,0.188797004212826,1,1,0
b2320,"PERD",1,0,0.999999999999641,0,0.794089375780772,0.713305898491084,0.00392743152115997,0.641483908073614,1,0.449747002393502,3.92484231129051e-06,0.00102784143162893,1.00375811962536,0.239013886721797,1,1,0
b2323,"3OAS100",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.449744842686922,1.40424738606601e-06,0,1.00375811962536,0.246784209705102,1,1,0
b2323,"3OAS120",1,0,0.999999999999692,0,0.807030753565019,0.736625514403292,0.0326436115430598,0.688618400107662,0,0.449744842686922,2.80849481482812e-06,0,1.00375811962536,0.246784209705102,1,1,0
b2323,"3OAS121",1,0,0.999999999999692,0,0.807415131832678,0.737311385459534,0.0553925171309631,0.706293883261158,0,0.449744842686922,7.02123626918285e-07,0,1.00375811962536,0.246784209705102,1,1,0
