genes,reaction,Phase
ALG6,DOLPGT1_Ler,G0
ALG6,DOLPGT1_Uer,G0
ALOX12,ALOX12,G0
ALOX12B,ALOX12R,G0
ALOX15,ALOX15,G0
ALOX15B,ALOX15,G0
ALOX5,ALOX5,G0
ALOX5,ALOX52,G0
ALPI,ALKP,G0
ALPL,ALKP,G0
ALPP,ALKP,G0
ALPPL2,ALKP,G0
AMD1,ADMDC,G0
AMDHD2,AGDC,G0
AMPD1,AMPDA,G0
AMPD3,AMPDA,G0
AMT,GCC2am,G0
AMT,GCC2bim,G0
AMT,GCC2cm,G0
AMT,GCCam,G0
AMT,GCCbim,G0
AMT,GCCcm,G0
AMY2A,AMY1e,G0
AMY2A,AMY2e,G0
AMY2B,AMY1e,G0
AMY2B,AMY2e,G0
ANPEP,AMPTASECG,G0
ANPEP,AMPTASECGe,G0
AOC3,13DAMPPOX,G0
AOC3,42A12BOOX,G0
AOC3,AACTOOR,G0
AOC3,MAOX,G0
AOC3,MHISOR,G0
AOC3,NMPTRCOX,G0
AOC3,PTRCOX1,G0
AOX1,5HOXINDACTO2OX,G0
AOX1,PYDXDH,G0
APRT,ADPT,G0
AQP9,L_LACtcm,G0
AQP9,UREAtm,G0
ARG1,ARGN,G0
ARG2,ARGNm,G0
ARSA,ARSA,G0
ASL,ARGSL,G0
ASPA,NACASPAH,G0
ASRGL1,ASNNm,G0
ATHL1,TREH,G0
ATIC,AICART,G0
ATIC,IMPC,G0
ATP10A,PCFLOPm,G0
ATP10A,PEFLIP,G0
ATP10A,PEFLIPm,G0
ATP10A,PSFLIP,G0
ATP10A,PSFLIPm,G0
ATP1A1,NaKt,G0
ATP1A2,NaKt,G0
ATP1A3,NaKt,G0
ATP1A4,NaKt,G0
ATP1B1,NaKt,G0
ATP1B2,NaKt,G0
ATP1B3,NaKt,G0
ATP1B4,NaKt,G0
ATP2B1,CAATPS,G0
ATP2B2,CAATPS,G0
ATP2B3,CAATPS,G0
ATP2B4,CAATPS,G0
ATP4A,HKt,G0
ATP4B,HKt,G0
ATP5B,ATPS4m,G0
ATP5I,ATPS4m,G0
ATP5L,ATPS4m,G0
ATP6V0A1,ATPasel,G0
ATP6V0A2,ATPasel,G0
ATP6V0B,ATPasel,G0
ATP6V0C,ATPasel,G0
ATP6V0D1,ATPasel,G0
ATP6V0D2,ATPasel,G0
ATP6V1A,ATPasel,G0
ATP6V1B1,ATPasel,G0
ATP6V1B2,ATPasel,G0
ATP6V1C2,ATPasel,G0
ATP6V1D,ATPasel,G0
ATP6V1E1,ATPasel,G0
ATP6V1E2,ATPasel,G0
ATP6V1F,ATPasel,G0
ATP6V1G1,ATPasel,G0
ATP8A1,PEFLIP,G0
ATP8A1,PEFLIPm,G0
ATP8A1,PSFLIP,G0
ATP8A1,PSFLIPm,G0
AUH,C2M26DCOAHLm,G0
AUH,ECOAH1m,G0
AUH,MGCHrm,G0
AUH,PRPNCOAHYDm,G0
AUH,T2M26DCOAHLm,G0
B3GALT4,B3GALT41g,G0
B3GALT4,B3GALT42g,G0
B3GALT4,B3GALT43g,G0
B3GALT4,B3GALT44g,G0
B3GALT6,GALT2g,G0
B3GAT2,GLCATg,G0
B3GNT1,AG13T10g,G0
B3GNT1,AG13T11g,G0
B3GNT1,AG13T12g,G0
B3GNT1,AG13T13g,G0
B3GNT1,AG13T14g,G0
B3GNT1,AG13T15g,G0
B3GNT1,AG13T16g,G0
B3GNT1,AG13T17g,G0
B3GNT1,AG13T18g,G0
B3GNT1,AG13T1g,G0
B3GNT1,AG13T2g,G0
B3GNT1,AG13T3g,G0
B3GNT1,AG13T4g,G0
B3GNT1,AG13T5g,G0
B3GNT1,AG13T6g,G0
B3GNT1,AG13T7g,G0
B3GNT1,AG13T8g,G0
B3GNT1,AG13T9g,G0
B3GNT3,AG13T10g,G0
B3GNT3,AG13T11g,G0
B3GNT3,AG13T12g,G0
B3GNT3,AG13T13g,G0
B3GNT3,AG13T14g,G0
B3GNT3,AG13T15g,G0
B3GNT3,AG13T16g,G0
B3GNT3,AG13T17g,G0
B3GNT3,AG13T18g,G0
B3GNT3,AG13T1g,G0
B3GNT3,AG13T2g,G0
B3GNT3,AG13T3g,G0
B3GNT3,AG13T4g,G0
B3GNT3,AG13T5g,G0
B3GNT3,AG13T6g,G0
B3GNT3,AG13T7g,G0
B3GNT3,AG13T8g,G0
B3GNT3,AG13T9g,G0
B3GNT3,B3GNT310g,G0
B3GNT3,B3GNT311g,G0
B3GNT3,B3GNT312g,G0
B3GNT3,B3GNT313g,G0
B3GNT3,B3GNT314g,G0
B3GNT3,B3GNT315g,G0
B3GNT3,B3GNT31g,G0
B3GNT3,B3GNT32g,G0
B3GNT3,B3GNT33g,G0
B3GNT3,B3GNT34g,G0
B3GNT3,B3GNT35g,G0
B3GNT3,B3GNT36g,G0
B3GNT3,B3GNT37g,G0
B3GNT3,B3GNT38g,G0
B3GNT3,B3GNT39g,G0
B3GNT4,AG13T10g,G0
B3GNT4,AG13T11g,G0
B3GNT4,AG13T12g,G0
B3GNT4,AG13T13g,G0
B3GNT4,AG13T14g,G0
B3GNT4,AG13T15g,G0
B3GNT4,AG13T16g,G0
B3GNT4,AG13T17g,G0
B3GNT4,AG13T18g,G0
B3GNT4,AG13T1g,G0
B3GNT4,AG13T2g,G0
B3GNT4,AG13T3g,G0
B3GNT4,AG13T4g,G0
B3GNT4,AG13T5g,G0
B3GNT4,AG13T6g,G0
B3GNT4,AG13T7g,G0
B3GNT4,AG13T8g,G0
B3GNT4,AG13T9g,G0
B3GNT5,B3GNT51g,G0
B3GNT6,CORE3GTg,G0
B3GNT7,AG13T10g,G0
B3GNT7,AG13T11g,G0
B3GNT7,AG13T12g,G0
B3GNT7,AG13T13g,G0
B3GNT7,AG13T14g,G0
B3GNT7,AG13T15g,G0
B3GNT7,AG13T16g,G0
B3GNT7,AG13T17g,G0
B3GNT7,AG13T18g,G0
B3GNT7,AG13T1g,G0
B3GNT7,AG13T2g,G0
B3GNT7,AG13T3g,G0
B3GNT7,AG13T4g,G0
B3GNT7,AG13T5g,G0
B3GNT7,AG13T6g,G0
B3GNT7,AG13T7g,G0
B3GNT7,AG13T8g,G0
B3GNT7,AG13T9g,G0
B4GALNT1,GALGT1,G0
B4GALNT1,GALGT2,G0
B4GALNT1,GALGT3,G0
B4GALNT1,GALGT4,G0
B4GALT1,G14T10g,G0
B4GALT1,G14T11g,G0
B4GALT1,G14T12g,G0
B4GALT1,G14T13g,G0
B4GALT1,G14T14g,G0
B4GALT1,G14T15g,G0
B4GALT1,G14T16g,G0
B4GALT1,G14T17g,G0
B4GALT1,G14T18g,G0
B4GALT1,G14T19g,G0
B4GALT1,G14T20g,G0
B4GALT1,G14T21g,G0
B4GALT1,G14T2g,G0
B4GALT1,G14T3g,G0
B4GALT1,G14T4g,G0
B4GALT1,G14T5g,G0
B4GALT1,G14T6g,G0
B4GALT1,G14T7g,G0
B4GALT1,G14T8g,G0
B4GALT1,G14T9g,G0
B4GALT1,G14Tg,G0
B4GALT1,UGALGTg,G0
B4GALT3,G14T10g,G0
B4GALT3,G14T11g,G0
