genes,reaction
ATP10A,PSFLIPm
ATP1A1,NaKt
ATP1A2,NaKt
ATP1A3,NaKt
ATP1A4,NaKt
ATP1B1,NaKt
ATP1B2,NaKt
ATP1B3,NaKt
ATP1B4,NaKt
ATP2B1,CAATPS
ATP2B2,CAATPS
ATP2B3,CAATPS
ATP2B4,CAATPS
ATP4A,HKt
ATP4B,HKt
ATP5B,ATPS4m
ATP6V0A1,ATPasel
ATP6V0A2,ATPasel
ATP6V0B,ATPasel
ATP6V0C,ATPasel
ATP6V0D1,ATPasel
ATP6V0D2,ATPasel
ATP6V1A,ATPasel
ATP6V1B1,ATPasel
ATP6V1B2,ATPasel
ATP6V1C2,ATPasel
ATP6V1D,ATPasel
ATP6V1E1,ATPasel
ATP6V1E2,ATPasel
ATP6V1F,ATPasel
ATP6V1G1,ATPasel
B3GALT4,B3GALT41g
B3GALT4,B3GALT42g
B3GALT4,B3GALT43g
B3GALT4,B3GALT44g
B3GALT6,GALT2g
B3GAT2,GLCATg
B3GNT1,AG13T10g
B3GNT1,AG13T11g
B3GNT1,AG13T12g
B3GNT1,AG13T13g
B3GNT1,AG13T14g
B3GNT1,AG13T15g
B3GNT1,AG13T16g
B3GNT1,AG13T17g
B3GNT1,AG13T18g
B3GNT1,AG13T1g
B3GNT1,AG13T2g
B3GNT1,AG13T3g
B3GNT1,AG13T4g
B3GNT1,AG13T5g
B3GNT1,AG13T6g
B3GNT1,AG13T7g
B3GNT1,AG13T8g
B3GNT1,AG13T9g
B3GNT3,AG13T10g
B3GNT3,AG13T11g
B3GNT3,AG13T12g
B3GNT3,AG13T13g
B3GNT3,AG13T14g
B3GNT3,AG13T15g
B3GNT3,AG13T16g
B3GNT3,AG13T17g
B3GNT3,AG13T18g
B3GNT3,AG13T1g
B3GNT3,AG13T2g
B3GNT3,AG13T3g
B3GNT3,AG13T4g
B3GNT3,AG13T5g
B3GNT3,AG13T6g
B3GNT3,AG13T7g
B3GNT3,AG13T8g
B3GNT3,AG13T9g
B3GNT3,B3GNT310g
B3GNT3,B3GNT311g
B3GNT3,B3GNT312g
B3GNT3,B3GNT313g
B3GNT3,B3GNT314g
B3GNT3,B3GNT315g
B3GNT3,B3GNT31g
B3GNT3,B3GNT32g
B3GNT3,B3GNT33g
B3GNT3,B3GNT34g
B3GNT3,B3GNT35g
B3GNT3,B3GNT36g
B3GNT3,B3GNT37g
B3GNT3,B3GNT38g
B3GNT3,B3GNT39g
B3GNT4,AG13T10g
B3GNT4,AG13T11g
B3GNT4,AG13T12g
B3GNT4,AG13T13g
B3GNT4,AG13T14g
B3GNT4,AG13T15g
B3GNT4,AG13T16g
B3GNT4,AG13T17g
B3GNT4,AG13T18g
B3GNT4,AG13T1g
B3GNT4,AG13T2g
B3GNT4,AG13T3g
B3GNT4,AG13T4g
B3GNT4,AG13T5g
B3GNT4,AG13T6g
B3GNT4,AG13T7g
B3GNT4,AG13T8g
B3GNT4,AG13T9g
B3GNT5,B3GNT51g
B3GNT6,CORE3GTg
B3GNT7,AG13T10g
B3GNT7,AG13T11g
B3GNT7,AG13T12g
B3GNT7,AG13T13g
B3GNT7,AG13T14g
B3GNT7,AG13T15g
B3GNT7,AG13T16g
B3GNT7,AG13T17g
B3GNT7,AG13T18g
B3GNT7,AG13T1g
B3GNT7,AG13T2g
B3GNT7,AG13T3g
B3GNT7,AG13T4g
B3GNT7,AG13T5g
B3GNT7,AG13T6g
B3GNT7,AG13T7g
B3GNT7,AG13T8g
B3GNT7,AG13T9g
B4GALNT1,GALGT1
B4GALNT1,GALGT2
B4GALNT1,GALGT3
B4GALNT1,GALGT4
B4GALT1,G14T10g
B4GALT1,G14T11g
B4GALT1,G14T12g
B4GALT1,G14T13g
B4GALT1,G14T14g
B4GALT1,G14T15g
B4GALT1,G14T16g
B4GALT1,G14T17g
B4GALT1,G14T18g
B4GALT1,G14T19g
B4GALT1,G14T20g
B4GALT1,G14T21g
B4GALT1,G14T2g
B4GALT1,G14T3g
B4GALT1,G14T4g
B4GALT1,G14T5g
B4GALT1,G14T6g
B4GALT1,G14T7g
B4GALT1,G14T8g
B4GALT1,G14T9g
B4GALT1,G14Tg
B4GALT1,UGALGTg
B4GALT3,G14T10g
B4GALT3,G14T11g
B4GALT3,G14T12g
B4GALT3,G14T13g
B4GALT3,G14T14g
B4GALT3,G14T15g
B4GALT3,G14T16g
B4GALT3,G14T17g
B4GALT3,G14T18g
B4GALT3,G14T19g
B4GALT3,G14T20g
B4GALT3,G14T21g
B4GALT3,G14T2g
B4GALT3,G14T3g
B4GALT3,G14T4g
B4GALT3,G14T5g
B4GALT3,G14T6g
B4GALT3,G14T7g
B4GALT3,G14T8g
B4GALT3,G14T9g
B4GALT3,G14Tg
B4GALT5,G14T10g
B4GALT5,G14T11g
B4GALT5,G14T12g
B4GALT5,G14T13g
B4GALT5,G14T14g
B4GALT5,G14T15g
B4GALT5,G14T16g
B4GALT5,G14T17g
B4GALT5,G14T18g
B4GALT5,G14T19g
B4GALT5,G14T20g
B4GALT5,G14T21g
B4GALT5,G14T2g
B4GALT5,G14T3g
B4GALT5,G14T4g
B4GALT5,G14T5g
B4GALT5,G14T6g
B4GALT5,G14T7g
B4GALT5,G14T8g
B4GALT5,G14T9g
B4GALT5,G14Tg
BAAT,BAAT1x
BAAT,BAAT2x
BAAT,BAAT3x
BAAT,BAAT4x
BAAT,BAAT5x
BBOX1,BBHOX
BCAT1,ILETA
BCAT1,LEUTA
BCAT1,VALTA
BCMO1,BCDO
BHMT2,BHMT
BPNT1,BPNT
BTD,BTND1
BTD,BTND1n
BTD,BTNDe
BTD,BTNDm
C1GALT1,N3Tg
C9orf95,RNMK
CAD,ASPCTr
CAD,CBPS
CAD,DHORTS
CANT1,NDP10ex
CANT1,NDP3ex
CANT1,NDP7ex
CANT1,NDP8ex
CANT1,NTP3e
CBR1,CBR1
CBR1,CBR2
CBS,CYSTS
CBS,SELCYSTS
CCBL1,3HKYNAKGAT
CCBL1,KYNAKGAT
CDA,CYTD
CDA,DCYTD
CDO1,CYSO
CDS1,CDS
CDS2,CDSm
CES2,COKECBESr
CHDH,CHOLD2m
CHIT1,CHTNASE
CHPF,GALNACT2g
CHPF,GALNACT3g
CHPF,GALNACT4g
CHPF,GALNACT5g
CHPF,GLCAT2g
CHPF,GLCAT3g
CHPF,GLCAT4g
CHPF,GLCAT5g
CHPF2,GLCAT2g
CHPF2,GLCAT3g
CHPF2,GLCAT4g
CHPF2,GLCAT5g
CHPT1,CEPTC
CHST1,S6T15g
CHST1,S6T18g
CHST1,S6T3g
CHST11,S4T1g
CHST11,S4T2g
CHST11,S4T3g
CHST11,S4T6g
CHST12,S4T1g
CHST12,S4T2g
CHST12,S4T3g
CHST12,S4T6g
CHST13,S4T1g
CHST13,S4T2g
CHST13,S4T3g
CHST13,S4T6g
CHST14,S4T1g
CHST14,S4T2g
CHST14,S4T3g
CHST14,S4T6g
CHST2,S6T10g
CHST2,S6T11g
CHST2,S6T12g
CHST2,S6T13g
CHST2,S6T14g
CHST2,S6T16g
CHST2,S6T17g
CHST2,S6T1g
CHST2,S6T2g
CHST2,S6T4g
CHST2,S6T5g
CHST2,S6T6g
CHST2,S6T7g
CHST2,S6T8g
CHST2,S6T9g
CHST3,S6T15g
CHST3,S6T18g
CHST3,S6T19g
CHST3,S6T20g
CHST3,S6T21g
CHST3,S6T24g
CHST3,S6T3g
CHST4,S6T10g
CHST4,S6T11g
CHST4,S6T12g
CHST4,S6T13g
CHST4,S6T14g
CHST4,S6T16g
CHST4,S6T17g
CHST4,S6T1g
CHST4,S6T2g
CHST4,S6T4g
CHST4,S6T5g
CHST4,S6T6g
CHST4,S6T7g
CHST4,S6T8g
CHST4,S6T9g
CHST6,S6T10g
CHST6,S6T11g
CHST6,S6T12g
CHST6,S6T13g
CHST6,S6T14g
CHST6,S6T16g
CHST6,S6T17g
CHST6,S6T1g
CHST6,S6T2g
CHST6,S6T4g
CHST6,S6T5g
CHST6,S6T6g
CHST6,S6T7g
CHST6,S6T8g
CHST6,S6T9g
CHST7,S6T19g
CHST7,S6T20g
CHST7,S6T21g
CHST7,S6T22g
CHST7,S6T23g
CHST7,S6T24g
CHSY1,GALNACT2g
CHSY1,GALNACT3g
CHSY1,GALNACT4g
CHSY1,GALNACT5g
CHSY1,GLCAT2g
CHSY1,GLCAT3g
CHSY1,GLCAT4g
CHSY1,GLCAT5g
CHSY3,GALNACT2g
CHSY3,GALNACT3g
CHSY3,GALNACT4g
