genes,reaction
CYP27A1,P45027A15m
CYP27A1,P45027A1m
CYP27A1,VITD2Hm
CYP27A1,VITD3Hm
CYP27B1,25VITD2Hm
CYP27B1,25VITD3Hm
CYP2A13,P4502A6
CYP2A6,P4502A6
CYP2C18,P4502C18
CYP2C19,MELATNOX
CYP2C19,P4502C19
CYP2C19,P4502C92
CYP2C19,P4502C93
CYP2C19,P4502C94
CYP2C9,P4502C9
CYP2C9,P4502C92
CYP2C9,P4502C93
CYP2C9,P4502C94
CYP2D6,P4502D6
CYP2E1,ACTLMO
CYP2E1,ACTNMO
CYP2E1,ETOHMO
CYP2E1,P4502E1
CYP2F1,P4502F1
CYP2F1,P4504B1r
CYP3A4,P4503A4
CYP3A5,P4503A5
CYP46A1,P45046A1r
CYP4A11,FAH1
CYP4A11,FAH2
CYP4A11,FAH3
CYP4F12,P4504F121r
CYP4F12,P4504F122r
CYP4F12,P4504F123r
CYP4F2,P4504F122r
CYP4F3,P4504F122r
CYP4F8,LNS14DM
CYP4F8,P4504F81r
CYP7A1,P4507A1r
CYTB,CYOR_u10m
DAO,DPROOp
DBH,DOPABMO
DCT,DCT
DDC,3HLYTCL
DDC,3HXKYNDCL
DDC,5HLTDL
DDC,5HXKYNDCL
DDC,HISDC
DDC,LTDCL
DDC,PHYCBOXL
DDC,TYRCBOX
DDOST,DOLASNT_Ler
DDOST,DOLASNT_Uer
DGAT2,DGAT
DGKA,DAGK_hs
DGKE,DAGK_hs
DGKG,DAGK_hs
DGKI,DAGK_hs
DGKQ,DAGK_hs
DHCR24,DHCR241r
DHCR24,DHCR242r
DHCR24,DHCR243r
DHCR7,DHCR71r
DMGDH,DMGDHm
DNMT1,DNAMTSEn
DNMT1,DNAMTn
DPYD,DURAD
DPYD,DURAD2
DPYS,DHPM1
DPYSL2,DHPM1
DPYSL3,DHPM1
DTYMK,NDP8
DUOX2,H2O2syn
ELOVL4,FAEL183
ELOVL4,FAEL184
ELOVL4,FAEL204
ELOVL4,FAEL205
ENPP1,DNADDP
ENPP1,FADDP
ENPP1,NNAT
ENPP1,UDPGP
ENPP2,DNADDP
ENPP2,NNAT
ENPP2,UDPGP
ENPP3,DNADDP
ENPP3,NNAT
ENPP3,UDPGP
ENTPD4,NDP7g
ENTPD6,ATPH1e
ENTPD6,ATPH2e
EPX,PRDX
ESD,SFGTH
ETNK1,ETHAK
ETNK2,ETHAK
FADS1,DESAT20_1
FADS1,DESAT20_2
FADS2,DESAT18_10
FADS2,DESAT18_6
FADS2,DESAT18_7
FADS2,DESAT18_8
FADS2,DESAT18_9
FADS2,DESAT24_1
FAH,FUMAC
FBP2,FBP
FBP2,FBP26
FDFT1,SQLSr
FDPS,DMATTx
FH,FUM
FH,FUMm
FOLR3,5MTHFt
FPGS,FPGS
FPGS,FPGS2
FPGS,FPGS2m
FPGS,FPGS3
FPGS,FPGS3m
FPGS,FPGS4
FPGS,FPGS4m
FPGS,FPGS5
FPGS,FPGS5m
FPGS,FPGS6
FPGS,FPGS6m
FPGS,FPGS7
FPGS,FPGS7m
FPGS,FPGS8
FPGS,FPGS8m
FPGS,FPGS9
FPGS,FPGS9m
FPGS,FPGSm
FPGT,F1PGT
FUCA1,FUCASE2ly
FUCA1,FUCASEly
FUCA2,FUCASE2e
FUCA2,FUCASEe
FUK,FK
FUT9,FUT910g
FUT9,FUT911g
FUT9,FUT91g
FUT9,FUT92g
FUT9,FUT93g
FUT9,FUT94g
FUT9,FUT95g
FUT9,FUT96g
FUT9,FUT97g
FUT9,FUT98g
FUT9,FUT99g
G6PD,G6PDH2r
GAD2,3SALACBOXL
GAD2,GLUDC
GAD2,LCYSTCBOXL
GALK1,GALK
GALNS,GLB1
GALNS,LACZly
GALNS,S6TASE10ly
GALNS,S6TASE22ly
GALNS,S6TASE25ly
GALNS,S6TASE4ly
GALNS,S6TASE5ly
GALNS,S6TASE6ly
GALNS,S6TASE7ly
GALNS,S6TASE8ly
GALNS,S6TASE9ly
GALNS,SIAASE3ly
GALNS,SIAASE4ly
GALNT1,GALNTg
GALNT11,GALNTg
GALNT12,GALNTg
GALNT13,GALNTg
GALNT14,GALNTg
GALNT2,GALNTg
GALNT3,GALNTg
GALNT4,GALNTg
GALNT5,GALNTg
GALNT6,GALNTg
GALNT7,GALNTg
GALNT9,GALNTg
GALNTL2,GALNTg
GBA3,BDG2HCGHD
GCH1,GTPCI
GCLC,GLUCYS
GCNT1,CORE2GTg
GCNT1,CORE6GTg
GCNT2,GCNTg
GCNT3,CORE2GTg
GCNT3,CORE4GTg
GCNT4,CORE2GTg
GDA,GUAD
GGH,GGH_5THFe
GK2,GLYK
GLDC,GCC2am
GLDC,GCC2bim
GLDC,GCCam
GLDC,GCCbim
GMDS,GMAND
GMPR,GMPR
GMPS,GMPS2
GNE,AMANK
GNE,UAG2EMAi
GNMT,GNMT
GNS,S6TASE11ly
GNS,S6TASE12ly
GNS,S6TASE13ly
GNS,S6TASE14ly
GNS,S6TASE15ly
GNS,S6TASE16ly
GNS,S6TASE17ly
GNS,S6TASE18ly
GNS,S6TASE19ly
GNS,S6TASE1ly
GNS,S6TASE20ly
GNS,S6TASE21ly
GNS,S6TASE23ly
GNS,S6TASE24ly
GNS,S6TASE26ly
GNS,S6TASE2ly
GNS,S6TASE3ly
GOT1,ASPTA
GPI,PGI
GPT,ALATA_L
GRHPR,LALDD
GSR,GTHO
GSS,GTHS
GUCY1A2,GUACYC
GUCY1A3,GUACYC
GUCY2C,GUACYC
GUCY2F,GUACYC
GYG2,GGNG
HAAO,3HAO
HADHB,HACD1m
HAO1,GLXO2p
HAS1,HAS1
HAS1,HAS2
HAS2,HAS1
HAS2,HAS2
HDC,HISDC
HGD,HGNTOR
HK2,HEX1
HK2,HEX10
HK2,HEX4
HK2,HEX7
HK3,HEX1
HK3,HEX10
HK3,HEX4
HK3,HEX7
HKDC1,HEX1
HKDC1,HEX10
HKDC1,HEX4
HKDC1,HEX7
HLCS,BACCL
HLCS,BTNPL
HMBS,HMBS
HMGCLL1,HMGLm
HMGCR,HMGCOARr
HMGCR,HMGCOARx
HMGCS2,HMGCOASim
HMOX1,HOXG
HNMT,SAMHISTA
HPD,34HPPOR
HPD,PPOR
HS3ST3A1,S3T3g
HS6ST1,S6T25g
HS6ST3,S6T25g
HSD11B2,HSD11B2r
HSD17B2,HSD17B2r
HSD17B8,HSD17B1
HSD3B1,HSD3B11
HSD3B1,HSD3B13
HSD3B2,HSD3B11r
HSD3B2,HSD3B12r
HSD3B2,HSD3B13r
HSD3B2,HSD3B2r
HSD3B2,HSD3B3r
IDH2,ICDHyrm
IDO1,5HTRPDOX
IDO1,MELATN23DOX
IDUA,IDOAASE1ly
IDUA,IDOAASE2ly
IDUA,IDOAASE3ly
IDUA,IDOAASE4ly
IMPDH2,IMPD
INMT,SRTNMTX
INPP1,MI134PP
INPP1,MI14PP
INPP4B,MI34PP
INPP5A,PI345P5P
INPP5B,MI1345PP
INPP5B,MI145PP
INPP5B,PI345P5P
INPP5B,PI45P5P
INPP5D,MI1345PP
INPP5D,MI145PP
INPP5D,PI345P5P
INPP5E,MI1345PP
INPP5E,MI145PP
INPP5E,PI345P5P
INPP5E,PI45P5P
IP6K3,PMI12346PH
IP6K3,PMI12346PHn
IP6K3,PMI1346PH
IP6K3,PMI1346PHn
IPMK,MI1345PKn
IPMK,MI1346PKn
IPMK,MI1456PKn
IPMK,MI145P6Kn
IPMK,MI145PKn
IREB2,ACONT
ITPKA,MI145PK
ITPKB,MI145PK
ITPKC,MI145PK
IVD,ACOAD8m
KDSR,3DSPHR
KMO,KYN3OX
KYNU,HKYNH
KYNU,KYN
KYNU,LFORKYNHYD
LCAT,LCAT1e
LDHAL6A,GLXO1
LDHAL6A,LDH_L
LDHAL6A,MCLOR
LDHAL6B,LDH_L
LGSN,GLNS
LPL,LPS
LPL,LPS2
LTA4H,LTA4H
MAN1A1,MM7B1g
MAN1A1,MM7B2g
MAN1A1,MM8Ag
MAN1A1,MM8Cg
MAN1A2,MM5ag
MAN1A2,MM5bg
MAN1A2,MM5cg
MAN1A2,MM6B1ag
MAN1A2,MM6B1bg
MAN1A2,MM6B2g
